2023-12-15T09:53:12.950Z  INFO 40192 --- [main] c.c.LivraisonApplicationTests            : Starting LivraisonApplicationTests using Java 17.0.6 with PID 40192 (started by MoussaDIALLO in D:\Livraison)
2023-12-15T09:53:12.968Z DEBUG 40192 --- [main] c.c.LivraisonApplicationTests            : Running with Spring Boot v3.2.0, Spring v6.1.1
2023-12-15T09:53:12.971Z  INFO 40192 --- [main] c.c.LivraisonApplicationTests            : No active profile set, falling back to 1 default profile: "default"
2023-12-15T09:53:14.672Z  INFO 40192 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-12-15T09:53:15.043Z  INFO 40192 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 358 ms. Found 23 JPA repository interfaces.
2023-12-15T09:53:15.273Z  INFO 40192 --- [main] faultConfiguringBeanFactoryPostProcessor : No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2023-12-15T09:53:15.290Z  INFO 40192 --- [main] faultConfiguringBeanFactoryPostProcessor : No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2023-12-15T09:53:16.371Z  INFO 40192 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-12-15T09:53:16.521Z  INFO 40192 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.3.1.Final
2023-12-15T09:53:16.587Z  INFO 40192 --- [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2023-12-15T09:53:16.843Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4948daec
2023-12-15T09:53:16.845Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4948daec
2023-12-15T09:53:16.845Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@4948daec
2023-12-15T09:53:16.845Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@502c2278
2023-12-15T09:53:16.845Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@502c2278
2023-12-15T09:53:16.846Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration true_false -> org.hibernate.type.BasicTypeReference@1209a0f
2023-12-15T09:53:16.846Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@1209a0f
2023-12-15T09:53:16.846Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@696174d3
2023-12-15T09:53:16.846Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@696174d3
2023-12-15T09:53:16.846Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@66715ca9
2023-12-15T09:53:16.847Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@66715ca9
2023-12-15T09:53:16.847Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@66715ca9
2023-12-15T09:53:16.848Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration binary -> org.hibernate.type.BasicTypeReference@577f9dfd
2023-12-15T09:53:16.848Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@577f9dfd
2023-12-15T09:53:16.848Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration [B -> org.hibernate.type.BasicTypeReference@577f9dfd
2023-12-15T09:53:16.848Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@5c573229
2023-12-15T09:53:16.849Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@5c573229
2023-12-15T09:53:16.849Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration image -> org.hibernate.type.BasicTypeReference@77ecdc2b
2023-12-15T09:53:16.849Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration blob -> org.hibernate.type.BasicTypeReference@714f1a44
2023-12-15T09:53:16.849Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@714f1a44
2023-12-15T09:53:16.849Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@3c09a350
2023-12-15T09:53:16.850Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@592a1882
2023-12-15T09:53:16.850Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@48368a08
2023-12-15T09:53:16.850Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@48368a08
2023-12-15T09:53:16.851Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@48368a08
2023-12-15T09:53:16.851Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration integer -> org.hibernate.type.BasicTypeReference@41a23470
2023-12-15T09:53:16.851Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration int -> org.hibernate.type.BasicTypeReference@41a23470
2023-12-15T09:53:16.853Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@41a23470
2023-12-15T09:53:16.853Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@30c01c37
2023-12-15T09:53:16.853Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@30c01c37
2023-12-15T09:53:16.853Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@30c01c37
2023-12-15T09:53:16.854Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@39a7eca5
2023-12-15T09:53:16.854Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@39a7eca5
2023-12-15T09:53:16.854Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@39a7eca5
2023-12-15T09:53:16.855Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@45bd4753
2023-12-15T09:53:16.855Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@45bd4753
2023-12-15T09:53:16.855Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@45bd4753
2023-12-15T09:53:16.856Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@156cfa20
2023-12-15T09:53:16.856Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@156cfa20
2023-12-15T09:53:16.856Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@25fd6d1e
2023-12-15T09:53:16.856Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@25fd6d1e
2023-12-15T09:53:16.857Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration character -> org.hibernate.type.BasicTypeReference@23396fc0
2023-12-15T09:53:16.857Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration char -> org.hibernate.type.BasicTypeReference@23396fc0
2023-12-15T09:53:16.857Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@23396fc0
2023-12-15T09:53:16.858Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@c11332b
2023-12-15T09:53:16.858Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration string -> org.hibernate.type.BasicTypeReference@7e5e6573
2023-12-15T09:53:16.858Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@7e5e6573
2023-12-15T09:53:16.858Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration nstring -> org.hibernate.type.BasicTypeReference@3005623b
2023-12-15T09:53:16.858Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration characters -> org.hibernate.type.BasicTypeReference@58aa5c94
2023-12-15T09:53:16.859Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration char[] -> org.hibernate.type.BasicTypeReference@58aa5c94
2023-12-15T09:53:16.859Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration [C -> org.hibernate.type.BasicTypeReference@58aa5c94
2023-12-15T09:53:16.859Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@5d27b4c1
2023-12-15T09:53:16.859Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration text -> org.hibernate.type.BasicTypeReference@50df37eb
2023-12-15T09:53:16.860Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ntext -> org.hibernate.type.BasicTypeReference@4b508371
2023-12-15T09:53:16.860Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration clob -> org.hibernate.type.BasicTypeReference@41143873
2023-12-15T09:53:16.860Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@41143873
2023-12-15T09:53:16.861Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration nclob -> org.hibernate.type.BasicTypeReference@21f50d2c
2023-12-15T09:53:16.861Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@21f50d2c
